id;couleur;couleur_hexa;quantite;lien_image
1;Account Outlying service-desk;payment vertical;72547;blue JBOD
2;dot-com Clothing challenge;Kansas indexing;3480;synergistic quantify
3;Corporate;grow;83851;yellow Triple-buffered JBOD
4;transition microchip viral;cultivate;76108;matrices User-centric 1080p
5;robust Money;Greens Personal;78988;generate Rufiyaa Bike
6;Legacy deposit;maroon mindshare Global;95040;Bacon
7;Alley grey Rufiyaa;Customizable Dynamic neutral;50620;driver multi-byte
8;Texas Borders primary;compressing eyeballs Buckinghamshire;5914;Avon models
9;homogeneous Salad;Fantastic Wooden deposit;71760;Borders bypassing
10;Product Implementation;Mobility override calculate;73535;Dollar
