id;nom;prix;lien_image;marque;progressif
1;conglomeration Table driver;90798;Grocery;connecting;true
2;XSS logistical Movies;44007;Trafficway Beauty District;Wooden Enterprise-wide morph;false
3;Market Soap Sausages;17906;Jewelery integrate;paradigms;true
4;Facilitator Computer initiatives;28839;Borders sensor Pennsylvania;Indian Steel override;false
5;Handmade;11024;violet Sausages;24/365 HDD;false
6;convergence;32056;Sports Buckinghamshire;mission-critical Soft Table;true
7;Movies;8089;Connecticut;Bedfordshire;false
8;Polarised;35547;quantify Handcrafted Borders;invoice;true
9;Computers;16048;Loan technologies Coordinator;Loan enterprise Real;true
10;Nicaragua Plastic context-sensitive;85180;Avon;azure;false
